Model,Season,Train0.50%,Train0.55%,Train0.60%,Train0.65%,Train0.70%,Train0.75%,Train0.80%,Train0.85%,Train0.90%,Train0.95%,Season Average
Margin-MLE,2008,0.27828,0.19328,0.23582,0.2859,0.36319,0.27369,0.29068,0.36077,0.1074,0.00522,0.239423
Margin-Baseline,2008,0.33905,0.21101,0.31001,0.26779,0.39851,0.31169,0.38269,0.31931,0.15554,0.07828,0.277388
Margin-MLE,2009,0.29865,-0.01232,0.28005,0.11641,0.14872,0.1961,0.27725,0.12293,0.13267,0.1604,0.172086
Margin-Baseline,2009,0.40358,0.05034,0.29503,0.18994,0.12502,0.20958,0.26156,0.16606,0.12581,0.16932,0.199624
Margin-MLE,2010,0.19253,0.07739,0.04198,0.33681,0.25483,0.36222,0.12337,0.20629,0.08824,0.0158,0.169946
Margin-Baseline,2010,0.21452,0.06783,0.02284,0.35444,0.29872,0.30477,0.16316,0.22034,0.19582,0.09865,0.194109
Margin-MLE,2011,0.14008,0.06708,0.30944,0.23888,0.16028,0.30402,0.19728,0.25025,0.08066,0.1279,0.187587
Margin-Baseline,2011,0.20703,0.10626,0.31856,0.21556,0.23231,0.30354,0.23341,0.28119,0.18499,0.11292,0.219577
Margin-MLE,2012,0.1248,-0.0224,0.00105,0.14462,0.08948,0.20457,0.23248,0.35007,0.02905,0.16952,0.132324
Margin-Baseline,2012,0.07546,0.12406,-0.00188,0.15872,0.18934,0.20405,0.2462,0.41249,0.3804,0.23025,0.201909
Margin-MLE-Avg,Average,0.206868,0.060606,0.173668,0.224524,0.2033,0.26812,0.224212,0.258062,0.087604,0.095768,
Margin-Baseline-Avg,Average,0.247928,0.1119,0.188912,0.23729,0.24878,0.266726,0.257404,0.279878,0.208512,0.137884,
